lat,lon,type,description
50.08811,14.570141,EC144,Jede do Praha-Dolní Počernice (úsek 2.23km) v 11:51 <a href='https://www.cd.cz/vlak/144' target='_blank'>info</a>
49.187492,16.171878,R661,Jede do Kralice nad Oslavou (úsek 5.74km) v 11:53 <a href='https://www.cd.cz/vlak/661' target='_blank'>info</a>
48.974485,14.48878,R668,Stojí ve stanici v 11:50 <a href='https://www.cd.cz/vlak/668' target='_blank'>info</a>
50.074201,12.380923,R614,Stojí ve stanici v 11:36 <a href='https://www.cd.cz/vlak/614' target='_blank'>info</a>
50.070508,15.112351,RJ1008,Jede do Cerhenice (úsek 3.45km) v 11:54 <a href='https://www.cd.cz/vlak/1008' target='_blank'>info</a>
49.90047,16.43892,AEx1060,Jede do Č.Třebová vhb.č.484 (úsek 0.72km) v 11:52 <a href='https://www.cd.cz/vlak/1060' target='_blank'>info</a>
50.08293,14.435587,R986,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/986' target='_blank'>info</a>
49.994857,16.336637,R890,Jede do Bezpráví (úsek 5.61km) v 11:49 <a href='https://www.cd.cz/vlak/890' target='_blank'>info</a>
50.42757,14.37706,R607,Jede do Horní Počaply (úsek 3.85km) v 11:53 <a href='https://www.cd.cz/vlak/607' target='_blank'>info</a>
50.08293,14.435587,R930,Stojí ve stanici v 11:41 <a href='https://www.cd.cz/vlak/930' target='_blank'>info</a>
48.753769,16.893065,rj75,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/75' target='_blank'>info</a>
50.08811,14.570141,R870,Jede do Praha-Dolní Počernice (úsek 2.23km) v 11:53 <a href='https://www.cd.cz/vlak/870' target='_blank'>info</a>
50.074201,12.380923,Ex560,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/560' target='_blank'>info</a>
49.900653,18.359506,R827,Stojí ve stanici v 11:36 <a href='https://www.cd.cz/vlak/827' target='_blank'>info</a>
50.722319,15.040142,R1272,Jede do Pilínkov (úsek 5.55km) v 11:51 <a href='https://www.cd.cz/vlak/1272' target='_blank'>info</a>
50.033883,15.190064,SC510,Jede do Nová Ves u Kolína (úsek 4km) v 11:54 <a href='https://www.cd.cz/vlak/510' target='_blank'>info</a>
49.855301,16.666501,LE1358,Jede do Žichlínek (úsek 2.52km) v 11:52 <a href='https://www.cd.cz/vlak/1358' target='_blank'>info</a>
49.317625,17.475542,LE1353,Jede do Hulín (úsek 0.58km) v 11:51 <a href='https://www.cd.cz/vlak/1353' target='_blank'>info</a>
50.110754,14.43975,R720,Stojí ve stanici v 11:39 <a href='https://www.cd.cz/vlak/720' target='_blank'>info</a>
50.40749,14.887313,Os6009,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/6009' target='_blank'>info</a>
49.287805,15.308334,R663,Jede do Horní Ves (úsek 4.75km) v 11:47 <a href='https://www.cd.cz/vlak/663' target='_blank'>info</a>
49.961775,16.983212,R907,Stojí ve stanici v 11:48 <a href='https://www.cd.cz/vlak/907' target='_blank'>info</a>
